Name,RA(J2000),Decl(J2000),Morphology,T-type,BPT,E(B-V),g,u-g,M_g,cz,D_L
 Arp 256 N       ,     4.70898,  -10.36210,     SB(s)c       ,   4.5 ,  SF     ,   0.03 ,  14.32  ,   0.84 ,  -20.97 ,   8178 ,  114.3 
 Arp 256 S       ,     4.71200,  -10.37738,     SB(s)b       ,   3.0 ,  SF     ,   0.03 ,  14.36  ,   0.75 ,  -20.91 ,   8118 ,  113.4 
 NGC 0337        ,    14.95839,   -7.57628,     SBd          ,   7.0 ,  SF     ,   0.10 ,  11.83  ,   0.91 ,  -20.29 ,   1647 ,   22.4 
 CGCG 436-030    ,    20.01104,   14.36182,     Pec          ,   -   ,  SF     ,   0.06 ,  14.58  ,   1.00 ,  -20.99 ,   9347 ,  129.9 
 NGC 0474        ,    20.02789,    3.41554,     (R)SA(s)0    ,  -2.0 ,  -      ,   0.04 ,  11.78  ,   1.61 ,  -20.93 ,   2336 ,   32.8 
 NGC 0520        ,    21.14825,    3.79250,     Pec          ,  99.0 ,  SF/AGN ,   0.04 ,  11.98  ,   1.35 ,  -20.90 ,   2276 ,   37.7 
      NGC 0584   ,    22.83635,   -6.86806,       E4         ,  -5.0 ,  -      ,   0.04 ,  10.84  ,   1.68 ,  -20.83 ,   1802 ,   20.1 
      NGC 0628   ,    24.17396,   15.78364,       SAc        ,   5.0 ,  -      ,   0.10 ,  10.92  ,   1.16 ,  -18.40 ,    657 ,    7.3 
 NGC 0660        ,    25.75980,   13.64514,     SB(s)a       ,   1.0 ,  SF/AGN ,   0.07 ,  11.98  ,   1.50 ,  -18.59 ,    838 ,   13.0 
 III Zw 035      ,    26.12717,   17.10241,     Pec          ,   -   ,  SF/AGN ,   0.08 ,  15.17  ,   1.34 ,  -20.12 ,   8208 ,  114.0 
 NGC 0695        ,    27.80988,   22.58232,     S0           ,  -2.0 ,  SF     ,   0.10 ,  13.50  ,   1.03 ,  -22.16 ,   9736 ,  135.4 
 NGC 0750        ,    29.38624,   33.20750,     Pec          ,  -5.0 ,  -      ,   0.08 ,  12.80  ,   1.76 ,  -21.49 ,   5152 ,   72.1 
      NGC 0855   ,    33.51455,   27.87720,       E          ,  -5.0 ,  SF     ,   0.09 ,  12.52  ,   1.06 ,  -17.74 ,    592 ,    9.7 
 NGC 1068        ,    40.66969,   -0.01318,     (R)SA(rs)b   ,   3.0 ,  AGN    ,   0.05 ,   9.41  ,   1.17 ,  -21.85 ,   1138 ,   16.5 
 Arp 118         ,    43.79500,   -0.18000,     Pec          ,  -4.3 ,  SF/AGN ,   0.07 ,  12.79  ,   1.44 ,  -22.61 ,   8628 ,  119.9 
 NGC 1144        ,    43.80097,   -0.18352,     Pec          ,  -4.3 ,  SF     ,   0.07 ,  13.30  ,   1.30 ,  -22.10 ,   8628 ,  119.9 
 NGC 1275        ,    49.95060,   41.51165,     Pec          ,  99.0 ,  -      ,   0.20 ,  11.21  ,   1.15 ,  -23.92 ,   5272 ,   74.5 
 NGC 1614        ,    68.50016,   -8.57923,     SB(s)c       ,   5.0 ,  SF/AGN ,   0.14 ,  12.49  ,   1.02 ,  -22.20 ,   4763 ,   67.4 
 NGC 2388        ,   112.22268,   33.81906,     Irr          ,   -   ,  SF     ,   0.08 ,  13.62  ,   1.72 ,  -20.63 ,   4134 ,   62.1 
      NGC 2403   ,   114.21417,   65.60256,       SABcd      ,   6.0 ,  -      ,   0.09 ,   9.29  ,   0.89 ,  -18.52 ,    131 ,    3.1 
 NGC 2537        ,   123.31000,   45.99184,     SB(s)m       ,   9.0 ,  SF     ,   0.06 ,  11.98  ,   0.92 ,  -17.22 ,    419 ,    6.9 
 NGC 2623        ,   129.60046,   25.75462,     Pec          ,  99.0 ,  AGN    ,   0.06 ,  13.73  ,   1.33 ,  -20.87 ,   5542 ,   83.2 
 IRAS 08572+3915 ,   135.10575,   39.06506,     Pec          ,   -   ,  SF/AGN ,   0.03 ,  16.37  ,   1.16 ,  -20.61 ,  17465 ,  249.2 
 UGC 04881       ,   138.97900,   44.33039,     Pec          ,   -   ,  SF     ,   0.02 ,  14.30  ,   1.36 ,  -21.86 ,  11773 ,  170.3 
      NGC 2798   ,   139.34510,   41.99973,       SBa pec    ,   1.0 ,  SF/AGN ,   0.03 ,  12.28  ,   1.26 ,  -19.92 ,   1726 ,   26.2 
 UGCA 166        ,   143.50904,   55.24039,     Irr          ,   -   ,  SF     ,   0.06 ,  15.76  ,   0.17 ,  -15.44 ,    748 ,   15.6 
 UGC 05101       ,   143.96478,   61.35330,     Pec          ,   -   ,  AGN    ,   0.05 ,  14.85  ,   1.54 ,  -21.31 ,  11803 ,  170.4 
 NGC 3049        ,   148.70660,    9.27125,     SBab         ,   2.0 ,  SF     ,   0.06 ,  11.91  ,   0.85 ,  -20.23 ,   1467 ,   23.9 
 NGC 3079        ,   150.49067,   55.67987,     SB(s)c       ,   7.0 ,  SF/AGN ,   0.01 ,  11.03  ,   1.17 ,  -20.40 ,   1108 ,   19.4 
 UGCA 208        ,   154.11761,   45.32154,     Pec          ,   -   ,  AGN    ,   0.01 ,  14.81  ,   0.71 ,  -17.62 ,   1647 ,   29.8 
      NGC 3190   ,   154.52368,   21.83242,       SAa pec    ,   1.0 ,  -      ,   0.03 ,  11.07  ,   1.63 ,  -21.15 ,   1271 ,   26.4 
 NGC 3198        ,   154.97865,   45.54954,     SBc          ,   5.0 ,  SF     ,   0.01 ,  11.13  ,   1.21 ,  -19.59 ,    659 ,   13.7 
 NGC 3265        ,   157.77844,   28.79660,     E            ,  -5.0 ,  SF     ,   0.02 ,  13.55  ,   1.24 ,  -18.36 ,   1318 ,   23.2 
      Mrk 33     ,   158.13288,   54.40086,       Im pec     ,  10.0 ,  SF     ,   0.02 ,  12.76  ,   0.67 ,  -19.10 ,   1430 ,   22.9 
 NGC 3310        ,   159.69104,   53.50336,     SAB(r)bc     ,   4.0 ,  SF     ,   0.02 ,  11.05  ,   0.54 ,  -20.46 ,    988 ,   20.1 
 NGC 3351        ,   160.99049,   11.70384,     SBb          ,   3.0 ,  SF     ,   0.04 ,  10.19  ,   1.38 ,  -19.79 ,    778 ,    9.3 
        NGC 3379 ,   161.95672,   12.58161,               E0 ,  -5.0 ,  -      ,   0.03 ,  10.06  ,   1.73 ,  -20.16 ,    911 ,   10.6 
 UGCA 219        ,   162.27100,   52.33547,     Sc           ,   -   ,  SF     ,   0.02 ,  14.47  ,   0.37 ,  -18.63 ,   2396 ,   40.5 
 NGC 3521        ,   166.45237,   -0.03582,     SABbc        ,   4.0 ,  SF     ,   0.05 ,   9.18  ,   1.47 ,  -21.05 ,    808 ,   10.1 
      NGC 3627   ,   170.06250,   12.99155,       SABb       ,   3.0 ,  SF/AGN ,   0.03 ,  10.22  ,   1.38 ,  -19.64 ,    727 ,    9.4 
